,Age,Industry,Salary,Currency,Country,State,Years Total,Years Specific,Education,Gender,Race,Senority
3422,25-34,"Marketing, Advertising & PR",85000,USD,United States,Georgia,5-7 years,5-7 years,College degree,Woman,White,Managerial Level
3423,35-44,Education (Higher Education),657900,USD,United States,Tennessee,11 - 20 years,5-7 years,Master's degree,Woman,White,Managerial Level
3424,45-54,Nonprofits,108000,USD,United States,District of Columbia,21 - 30 years,21 - 30 years,College degree,Woman,White,Managerial Level
3425,35-44,Engineering or Manufacturing,196000,USD,United States,California,11 - 20 years,11 - 20 years,PhD,Woman,White,Mid Level
3426,25-34,Computing or Tech,160000,USD,United States,Texas,8 - 10 years,8 - 10 years,College degree,Woman,Asian or Asian American,Mid Level
3428,35-44,Government and Public Administration,37360,USD,United States,Maine,11 - 20 years,8 - 10 years,College degree,Woman,White,Managerial Level
3429,45-54,Government and Public Administration,85751,USD,United States,,11 - 20 years,11 - 20 years,Master's degree,Woman,Black or African American,Senior Level
3430,25-34,Education (Primary/Secondary),89000,USD,United States,New York,8 - 10 years,8 - 10 years,Master's degree,Woman,"Hispanic, Latino, or Spanish origin",Mid Level
3431,25-34,"Marketing, Advertising & PR",65150,USD,United States,Virginia,11 - 20 years,8 - 10 years,College degree,Woman,White,Mid Level
3432,25-34,Computing or Tech,81745,USD,Germany,,5-7 years,5-7 years,College degree,Man,White,Mid Level
3433,25-34,Law,50869,USD,United States,,5-7 years,5-7 years,College degree,Woman,White,Mid Level
3434,25-34,"Accounting, Banking & Finance",48689,USD,United States,,8 - 10 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,White,Senior Level
3435,25-34,Government and Public Administration,87150,USD,United States,Maryland,5-7 years,2 - 4 years,Master's degree,Woman,White,Mid Level
3437,65 or over,Health care,136500,USD,United States,California,41 years or more,41 years or more,Master's degree,Woman,White,Mid Level
3438,35-44,Engineering or Manufacturing,80000,USD,United States,Missouri,11 - 20 years,8 - 10 years,Master's degree,Woman,White,Mid Level
3439,25-34,Nonprofits,26455,USD,United Kingdom,,8 - 10 years,2 - 4 years,College degree,Woman,White,Mid Level
3440,25-34,Utilities & Telecommunications,68000,USD,United States,Maine,5-7 years,5-7 years,College degree,Woman,White,Mid Level
3441,35-44,Computing or Tech,180000,USD,United States,Minnesota,11 - 20 years,2 - 4 years,PhD,Woman,White,Mid Level
3442,25-34,Education (Higher Education),56000,USD,United States,Arizona,8 - 10 years,5-7 years,Master's degree,Woman,White,Mid Level
3443,25-34,"Accounting, Banking & Finance",100000,USD,United States,Tennessee,8 - 10 years,8 - 10 years,College degree,Woman,White,Senior Level
3444,35-44,Education (Higher Education),60000,USD,United States,Arizona,11 - 20 years,11 - 20 years,PhD,Woman,White,Managerial Level
3445,45-54,Government and Public Administration,108000,USD,United States,New York,21 - 30 years,11 - 20 years,PhD,Woman,White,Executive Level
3447,55-64,Education (Higher Education),45000,USD,United States,North Carolina,21 - 30 years,21 - 30 years,Master's degree,Woman,White,Mid Level
3448,35-44,Nonprofits,52450,USD,United States,Michigan,11 - 20 years,11 - 20 years,College degree,Woman,White,Managerial Level
3449,45-54,Law,130000,USD,United States,California,31 - 40 years,11 - 20 years,College degree,Woman,White,Mid Level
3450,25-34,Recruitment or HR,66240,USD,United States,California,2 - 4 years,2 - 4 years,College degree,Woman,Asian or Asian American,Mid Level
3451,25-34,"Marketing, Advertising & PR",66000,USD,United States,Massachusetts,8 - 10 years,5-7 years,College degree,Man,White,Mid Level
3452,35-44,Education (Higher Education),37500,USD,United States,Ohio,11 - 20 years,11 - 20 years,Master's degree,Woman,Asian or Asian American,Mid Level
3453,25-34,Education (Primary/Secondary),51000,USD,United States,Florida,5-7 years,5-7 years,Master's degree,Woman,White,Mid Level
3454,55-64,Computing or Tech,102000,USD,United States,Washington,41 years or more,31 - 40 years,Master's degree,Man,White,Managerial Level
3455,25-34,Education (Higher Education),52275,USD,United States,Florida,8 - 10 years,8 - 10 years,Master's degree,Man,"Hispanic, Latino, or Spanish origin",Mid Level
3456,25-34,Business or Consulting,61000,USD,United States,Colorado,2 - 4 years,2 - 4 years,College degree,Woman,White,Executive Level
3458,18-24,Computing or Tech,90000,USD,United States,New Jersey,2 - 4 years,2 - 4 years,College degree,Man,White,Mid Level
3459,35-44,Business or Consulting,79668,USD,United States,California,8 - 10 years,5-7 years,Master's degree,Woman,White,Senior Level
3460,35-44,"Marketing, Advertising & PR",13520,USD,United States,Ohio,11 - 20 years,1 year or less,College degree,Woman,White,Mid Level
3461,25-34,Education (Higher Education),45700,USD,United States,Ohio,2 - 4 years,1 year or less,College degree,Woman,White,Mid Level
3462,35-44,Education (Higher Education),75000,USD,United States,Massachusetts,5-7 years,5-7 years,PhD,Woman,White,Mid Level
3464,35-44,Business or Consulting,72000,USD,United States,Texas,11 - 20 years,5-7 years,College degree,Woman,White,Managerial Level
3465,25-34,Engineering or Manufacturing,140000,USD,United States,California,8 - 10 years,8 - 10 years,College degree,Woman,Another option not listed here or prefer not to answer,Managerial Level
3466,35-44,Insurance,92000,USD,United States,Wisconsin,11 - 20 years,2 - 4 years,Master's degree,Woman,White,Mid Level
3467,35-44,Social Work,72000,USD,United States,New York,8 - 10 years,8 - 10 years,Master's degree,Woman,White,Mid Level
3468,35-44,Government and Public Administration,66857,USD,United States,,11 - 20 years,2 - 4 years,Master's degree,Woman,White,Managerial Level
3469,35-44,Law,101985,USD,United States,New Mexico,11 - 20 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Woman,White,Mid Level
3470,35-44,Computing or Tech,100500,USD,United States,New Jersey,11 - 20 years,5-7 years,Master's degree,Woman,White,Mid Level
3471,45-54,Nonprofits,56000,USD,United States,Arizona,21 - 30 years,11 - 20 years,Master's degree,Woman,White,Mid Level
3472,25-34,Government and Public Administration,110000,USD,United States,Washington,8 - 10 years,5-7 years,Master's degree,Woman,White,Mid Level
3473,35-44,"Marketing, Advertising & PR",135000,USD,United States,Illinois,11 - 20 years,11 - 20 years,College degree,Woman,White,Managerial Level
3474,25-34,Nonprofits,54540,USD,United States,District of Columbia,8 - 10 years,5-7 years,College degree,Woman,White,Managerial Level
3475,25-34,Retail,30000,USD,United States,Oregon,5-7 years,2 - 4 years,College degree,Woman,"Hispanic, Latino, or Spanish origin",Managerial Level
3476,25-34,Education (Higher Education),64575,USD,United States,New York,8 - 10 years,8 - 10 years,Master's degree,Man,White,Executive Level
3477,25-34,Hospitality & Events,170406,USD,United States,Virginia,8 - 10 years,8 - 10 years,College degree,Woman,White,Executive Level
3478,35-44,Art & Design,54503,USD,United States,,11 - 20 years,8 - 10 years,College degree,Woman,White,Mid Level
3479,55-64,Nonprofits,33280,USD,United States,Minnesota,21 - 30 years,11 - 20 years,College degree,Woman,White,Mid Level
3480,25-34,Computing or Tech,150000,USD,United States,Washington,11 - 20 years,5-7 years,Master's degree,Woman,White,Managerial Level
3482,35-44,Health care,225000,USD,United States,New York,8 - 10 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman,White,Mid Level
3483,25-34,Nonprofits,90000,USD,United States,Virginia,8 - 10 years,5-7 years,Master's degree,Woman,White,Managerial Level
3484,25-34,Recruitment or HR,87000,USD,United States,California,5-7 years,5-7 years,College degree,Woman,White,Junior Level
3485,35-44,Computing or Tech,155000,USD,United States,Georgia,11 - 20 years,2 - 4 years,Master's degree,Woman,White,Managerial Level
3486,45-54,Health care,50869,USD,United States,,21 - 30 years,2 - 4 years,College degree,Woman,White,Mid Level
3487,35-44,Engineering or Manufacturing,118000,USD,United States,New Jersey,11 - 20 years,8 - 10 years,PhD,Woman,White,Senior Level
3488,25-34,Nonprofits,95000,USD,United States,California,8 - 10 years,5-7 years,Master's degree,Woman,Another option not listed here or prefer not to answer,Executive Level
3489,55-64,Education (Primary/Secondary),60000,USD,United States,Massachusetts,21 - 30 years,8 - 10 years,Some college,Woman,White,Mid Level
3490,35-44,Computing or Tech,136000,USD,United States,Pennsylvania,11 - 20 years,11 - 20 years,Master's degree,Man,White,Senior Level
3491,25-34,Law,83708,USD,United States,,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,White,Mid Level
3492,25-34,Computing or Tech,130000,USD,United States,Massachusetts,8 - 10 years,8 - 10 years,Master's degree,Woman,White,Executive Level
3493,35-44,"Accounting, Banking & Finance",35359,USD,United States,,11 - 20 years,5-7 years,College degree,Woman,White,Mid Level
3494,35-44,Education (Higher Education),83755,USD,United Kingdom,,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman,White,Managerial Level
3496,35-44,Health care,56000,USD,United States,New York,11 - 20 years,5-7 years,Master's degree,Man,White,Mid Level
3497,35-44,Law,130529,USD,United States,Utah,8 - 10 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Woman,White,Senior Level
3498,25-34,Education (Higher Education),53000,USD,United States,Wisconsin,8 - 10 years,1 year or less,PhD,Other or prefer not to answer,White,Mid Level
3499,25-34,Computing or Tech,215000,USD,United States,California,5-7 years,31 - 40 years,PhD,Man,White,Mid Level
3500,45-54,Social Work,48000,USD,United States,Michigan,21 - 30 years,11 - 20 years,Master's degree,Woman,White,Mid Level
3501,35-44,Education (Higher Education),116000,USD,United States,Illinois,11 - 20 years,11 - 20 years,Master's degree,Man,White,Executive Level
3502,35-44,Law,93000,USD,United States,Colorado,8 - 10 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Woman,White,Mid Level
3503,18-24,Government and Public Administration,34859,USD,United States,North Carolina,2 - 4 years,1 year or less,Master's degree,Woman,White,Mid Level
3504,45-54,Engineering or Manufacturing,68838,USD,Ireland,,21 - 30 years,21 - 30 years,College degree,Woman,White,Mid Level
3505,35-44,Agriculture or Forestry,29808,USD,United States,Virginia,5-7 years,2 - 4 years,College degree,Non-binary,Native American or Alaska Native,Senior Level
3506,25-34,Insurance,145000,USD,United States,North Carolina,8 - 10 years,2 - 4 years,Master's degree,Woman,White,Mid Level
3508,35-44,Health care,71000,USD,United States,Massachusetts,11 - 20 years,8 - 10 years,College degree,Woman,White,Junior Level
3509,25-34,Nonprofits,69000,USD,United States,Illinois,2 - 4 years,2 - 4 years,Master's degree,Woman,White,Mid Level
3510,25-34,"Accounting, Banking & Finance",32433,USD,United Kingdom,,8 - 10 years,2 - 4 years,College degree,Man,White,Mid Level
3511,45-54,Health care,105000,USD,United States,Florida,21 - 30 years,11 - 20 years,Master's degree,Woman,White,Mid Level
3512,25-34,Education (Higher Education),84000,USD,United States,California,8 - 10 years,8 - 10 years,Master's degree,Woman,White,Mid Level
3513,25-34,Health care,118000,USD,United States,Connecticut,2 - 4 years,2 - 4 years,Master's degree,Woman,Another option not listed here or prefer not to answer,Mid Level
3514,25-34,Insurance,68838,USD,France,,5-7 years,2 - 4 years,PhD,Woman,White,Managerial Level
3515,45-54,Media & Digital,73000,USD,United States,Iowa,21 - 30 years,21 - 30 years,Master's degree,Woman,White,Managerial Level
3516,55-64,Education (Higher Education),50360,USD,United States,Pennsylvania,31 - 40 years,5-7 years,Some college,Woman,White,Mid Level
3517,35-44,Media & Digital,58000,USD,United States,Nevada,11 - 20 years,11 - 20 years,College degree,Man,White,Managerial Level
3518,25-34,Nonprofits,60000,USD,United States,Minnesota,5-7 years,2 - 4 years,College degree,Woman,White,Mid Level
3519,35-44,Law,97500,USD,United States,Virginia,21 - 30 years,11 - 20 years,College degree,Woman,"Hispanic, Latino, or Spanish origin",Senior Level
3520,45-54,Insurance,50869,USD,United States,,11 - 20 years,11 - 20 years,Some college,Woman,White,Mid Level
3521,35-44,"Accounting, Banking & Finance",63599,USD,United States,Louisiana,11 - 20 years,11 - 20 years,College degree,Woman,White,Managerial Level
3522,35-44,Education (Primary/Secondary),91500,USD,United States,Rhode Island,8 - 10 years,8 - 10 years,Master's degree,Woman,White,Executive Level
3523,35-44,Health care,70849,USD,United States,,11 - 20 years,5-7 years,College degree,Woman,White,Mid Level
3524,25-34,Computing or Tech,139309,USD,United States,,8 - 10 years,8 - 10 years,College degree,Woman,White,Mid Level
3525,45-54,Nonprofits,74000,USD,United States,Pennsylvania,11 - 20 years,11 - 20 years,Master's degree,Woman,White,Senior Level
3526,35-44,Law,73000,USD,United States,Virginia,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman,White,Mid Level
3527,35-44,Media & Digital,125000,USD,United States,Colorado,8 - 10 years,8 - 10 years,Master's degree,Woman,Asian or Asian American,Mid Level
3528,35-44,"Marketing, Advertising & PR",76500,USD,United States,Nebraska,11 - 20 years,8 - 10 years,College degree,Woman,White,Managerial Level
3530,35-44,Business or Consulting,109050,USD,United States,California,11 - 20 years,11 - 20 years,College degree,Woman,White,Executive Level
3531,25-34,Engineering or Manufacturing,72670,USD,United States,,8 - 10 years,8 - 10 years,College degree,Woman,White,Managerial Level
3532,35-44,Government and Public Administration,110703,USD,United States,Maryland,8 - 10 years,5-7 years,PhD,Woman,White,Mid Level
3533,35-44,Media & Digital,70000,USD,United States,California,8 - 10 years,8 - 10 years,College degree,Woman,White,Managerial Level
3534,25-34,Education (Primary/Secondary),34444,USD,United States,Montana,21 - 30 years,11 - 20 years,College degree,Woman,White,Mid Level
3535,35-44,Utilities & Telecommunications,74000,USD,United States,Tennessee,11 - 20 years,5-7 years,College degree,Woman,White,Mid Level
3536,55-64,Education (Higher Education),110000,USD,United States,New York,21 - 30 years,21 - 30 years,PhD,Man,White,Mid Level
3537,55-64,Law,68673,USD,United States,,21 - 30 years,11 - 20 years,College degree,Woman,White,Mid Level
3538,35-44,Computing or Tech,206000,USD,United States,California,11 - 20 years,11 - 20 years,College degree,Woman,White,Mid Level
3539,55-64,Sales,28341,USD,United States,,31 - 40 years,21 - 30 years,Some college,Woman,White,Mid Level
3540,45-54,Education (Higher Education),46700,USD,United States,Washington,21 - 30 years,21 - 30 years,College degree,Man,White,Mid Level
3541,25-34,Education (Higher Education),27855,USD,United States,,5-7 years,1 year or less,College degree,Woman,White,Mid Level
3542,25-34,Law,72000,USD,United States,Pennsylvania,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,White,Junior Level
3544,25-34,Recruitment or HR,126500,USD,United States,Massachusetts,8 - 10 years,5-7 years,Master's degree,Man,White,Mid Level
3545,25-34,Government and Public Administration,34881,USD,United States,,5-7 years,8 - 10 years,College degree,Woman,White,Mid Level
3546,25-34,Law,47000,USD,United States,Texas,8 - 10 years,5-7 years,College degree,Woman,"Hispanic, Latino, or Spanish origin",Mid Level
3548,25-34,"Accounting, Banking & Finance",97000,USD,United States,New Jersey,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,White,Mid Level
3549,25-34,Health care,65000,USD,United States,Massachusetts,2 - 4 years,2 - 4 years,Master's degree,Woman,White,Executive Level
3550,25-34,Education (Primary/Secondary),79023,USD,United States,Massachusetts,11 - 20 years,8 - 10 years,Master's degree,Woman,White,Mid Level
3551,25-34,Engineering or Manufacturing,85000,USD,United States,Florida,8 - 10 years,8 - 10 years,Master's degree,Woman,White,Mid Level
3552,25-34,"Marketing, Advertising & PR",91000,USD,United States,Oregon,8 - 10 years,5-7 years,College degree,Woman,White,Managerial Level
3553,18-24,Computing or Tech,82800,USD,United States,Minnesota,2 - 4 years,2 - 4 years,Master's degree,Woman,White,Mid Level
3555,25-34,Education (Higher Education),51000,USD,United States,Kentucky,8 - 10 years,8 - 10 years,Master's degree,Woman,White,Managerial Level
3557,45-54,Sales,52000,USD,United States,Georgia,11 - 20 years,5-7 years,Master's degree,Woman,White,Mid Level
3558,35-44,Law,91000,USD,United States,New Hampshire,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman,White,Mid Level
3559,25-34,Health care,77000,USD,United States,Illinois,2 - 4 years,1 year or less,Master's degree,Woman,White,Mid Level
3560,35-44,Health care,50000,USD,United States,Kansas,11 - 20 years,8 - 10 years,College degree,Woman,White,Mid Level
3561,35-44,"Accounting, Banking & Finance",77776,USD,United States,New Jersey,11 - 20 years,11 - 20 years,Master's degree,Woman,White,Mid Level
3562,45-54,Sales,86000,USD,United States,Kentucky,21 - 30 years,5-7 years,Master's degree,Woman,White,Mid Level
3563,25-34,Hospitality & Events,59800,USD,United States,North Carolina,5-7 years,5-7 years,College degree,Woman,White,Senior Level
3564,25-34,Retail,22455,USD,United States,,2 - 4 years,2 - 4 years,Some college,Other or prefer not to answer,White,Junior Level
3565,25-34,Business or Consulting,90000,USD,United States,Texas,8 - 10 years,5-7 years,College degree,Woman,White,Managerial Level
3566,25-34,Nonprofits,60000,USD,United States,Texas,8 - 10 years,8 - 10 years,Master's degree,Woman,"Hispanic, Latino, or Spanish origin",Mid Level
3567,35-44,Law,62800,USD,United States,Minnesota,11 - 20 years,8 - 10 years,College degree,Woman,White,Mid Level
3568,25-34,Hospitality & Events,50000,USD,United States,Louisiana,8 - 10 years,2 - 4 years,College degree,Woman,"Hispanic, Latino, or Spanish origin",Mid Level
3570,35-44,Education (Higher Education),49000,USD,United States,Wisconsin,11 - 20 years,8 - 10 years,Master's degree,Woman,White,Mid Level
3571,35-44,"Accounting, Banking & Finance",76200,USD,United States,Missouri,21 - 30 years,21 - 30 years,Master's degree,Woman,White,Mid Level
3572,45-54,"Accounting, Banking & Finance",101000,USD,United States,Connecticut,21 - 30 years,21 - 30 years,Some college,Woman,White,Mid Level
3573,35-44,Engineering or Manufacturing,101000,USD,United States,Oregon,11 - 20 years,5-7 years,College degree,Woman,White,Mid Level
3574,45-54,Education (Primary/Secondary),65000,USD,United States,Missouri,21 - 30 years,21 - 30 years,Master's degree,Woman,White,Managerial Level
3575,25-34,Health care,44345,USD,United States,Tennessee,5-7 years,5-7 years,College degree,Woman,White,Managerial Level
3576,35-44,Property or Construction,99000,USD,United States,Rhode Island,11 - 20 years,11 - 20 years,College degree,Woman,White,Managerial Level
3577,35-44,Computing or Tech,86000,USD,United States,California,8 - 10 years,5-7 years,Master's degree,Woman,"Hispanic, Latino, or Spanish origin",Managerial Level
3578,35-44,Education (Higher Education),60000,USD,United States,Nebraska,11 - 20 years,11 - 20 years,Master's degree,Woman,White,Executive Level
3579,45-54,Health care,72800,USD,United States,New York,11 - 20 years,2 - 4 years,Master's degree,Woman,White,Mid Level
3580,35-44,Nonprofits,53790,USD,United States,,11 - 20 years,11 - 20 years,Some college,Woman,White,Executive Level
3581,35-44,Government and Public Administration,77269,USD,United States,Virginia,11 - 20 years,11 - 20 years,Master's degree,Woman,White,Managerial Level
3582,25-34,Computing or Tech,90000,USD,United States,Oregon,8 - 10 years,2 - 4 years,Master's degree,Woman,White,Mid Level
3583,25-34,Recruitment or HR,81100,USD,United States,Texas,5-7 years,5-7 years,College degree,Man,Black or African American,Mid Level
3584,45-54,Engineering or Manufacturing,85000,USD,United States,Michigan,21 - 30 years,21 - 30 years,College degree,Woman,White,Managerial Level
3585,35-44,Government and Public Administration,33508,USD,United States,Montana,21 - 30 years,2 - 4 years,High School,Woman,White,Mid Level
3586,45-54,Business or Consulting,102000,USD,United States,Florida,21 - 30 years,8 - 10 years,Some college,Woman,White,Managerial Level
3587,35-44,Education (Higher Education),78000,USD,United States,Michigan,8 - 10 years,2 - 4 years,PhD,Woman,White,Managerial Level
3588,35-44,Insurance,104781,USD,United States,Illinois,11 - 20 years,5-7 years,College degree,Woman,White,Mid Level
3589,25-34,Engineering or Manufacturing,108000,USD,United States,Pennsylvania,8 - 10 years,8 - 10 years,College degree,Woman,White,Senior Level
3590,25-34,Engineering or Manufacturing,122000,USD,United States,Massachusetts,11 - 20 years,11 - 20 years,Master's degree,Man,White,Senior Level
3591,35-44,Education (Higher Education),66498,USD,Germany,,11 - 20 years,11 - 20 years,Master's degree,Woman,White,Mid Level
3592,18-24,"Accounting, Banking & Finance",42000,USD,United States,Connecticut,2 - 4 years,2 - 4 years,Some college,Woman,White,Senior Level
3594,35-44,Education (Higher Education),91425,USD,United States,Utah,11 - 20 years,11 - 20 years,Master's degree,Woman,White,Executive Level
3595,45-54,Nonprofits,76000,USD,United States,Ohio,11 - 20 years,11 - 20 years,College degree,Woman,White,Executive Level
3597,25-34,"Marketing, Advertising & PR",66000,USD,United States,Washington,8 - 10 years,8 - 10 years,College degree,Woman,White,Managerial Level
3598,25-34,Education (Higher Education),37000,USD,United States,Wisconsin,5-7 years,5-7 years,Master's degree,Woman,White,Mid Level
3599,35-44,Nonprofits,54000,USD,United States,Colorado,5-7 years,2 - 4 years,Master's degree,Woman,White,Mid Level
3600,25-34,"Accounting, Banking & Finance",82000,USD,United States,Alaska,2 - 4 years,2 - 4 years,College degree,Woman,White,Mid Level
3601,25-34,Computing or Tech,93500,USD,United States,Wisconsin,8 - 10 years,8 - 10 years,College degree,Woman,White,Managerial Level
3603,25-34,Nonprofits,71000,USD,United States,Alabama,8 - 10 years,8 - 10 years,College degree,Woman,White,Executive Level
3604,35-44,Property or Construction,53000,USD,United States,Oregon,21 - 30 years,8 - 10 years,College degree,Woman,White,Mid Level
3605,25-34,Utilities & Telecommunications,102000000,USD,Colombia,,8 - 10 years,1 year or less,Some college,Man,"Hispanic, Latino, or Spanish origin",Managerial Level
3606,35-44,Government and Public Administration,97395,USD,United States,Illinois,8 - 10 years,8 - 10 years,Master's degree,Woman,White,Mid Level
3607,25-34,Media & Digital,46000,USD,United States,Washington,8 - 10 years,5-7 years,College degree,Woman,White,Junior Level
3608,35-44,Computing or Tech,63500,USD,United States,Delaware,11 - 20 years,11 - 20 years,College degree,Woman,White,Executive Level
3609,35-44,Government and Public Administration,55229,USD,United States,,5-7 years,5-7 years,Master's degree,Woman,White,Mid Level
3611,35-44,Health care,26500,USD,United States,Michigan,11 - 20 years,5-7 years,Some college,Woman,White,Mid Level
3612,25-34,Education (Higher Education),65000,USD,United States,Pennsylvania,11 - 20 years,8 - 10 years,Master's degree,Man,White,Mid Level
3613,25-34,Education (Primary/Secondary),73500,USD,United States,Illinois,8 - 10 years,8 - 10 years,College degree,Woman,White,Mid Level
3615,25-34,Engineering or Manufacturing,107545,USD,United States,Michigan,5-7 years,5-7 years,Master's degree,Woman,White,Mid Level
3616,25-34,Insurance,127000,USD,United States,Massachusetts,5-7 years,5-7 years,College degree,Man,White,Mid Level
3617,25-34,Sales,52000,USD,United States,Missouri,11 - 20 years,11 - 20 years,College degree,Woman,White,Mid Level
3618,25-34,"Marketing, Advertising & PR",75000,USD,United States,North Carolina,5-7 years,5-7 years,College degree,Woman,Black or African American,Managerial Level
3619,25-34,Computing or Tech,135000,USD,United States,California,5-7 years,2 - 4 years,College degree,Woman,Middle Eastern or Northern African,Mid Level
3620,25-34,Engineering or Manufacturing,61052,USD,United States,,11 - 20 years,11 - 20 years,Master's degree,Woman,White,Mid Level
3621,45-54,Government and Public Administration,144128,USD,United States,District of Columbia,21 - 30 years,5-7 years,"Professional degree (MD, JD, etc.)",Man,White,Mid Level
3622,35-44,Hospitality & Events,70000,USD,United States,Virginia,11 - 20 years,11 - 20 years,College degree,Woman,White,Executive Level
3623,55-64,Insurance,39200,USD,United States,Texas,21 - 30 years,21 - 30 years,Some college,Woman,White,Senior Level
3624,35-44,Education (Higher Education),70000,USD,United States,West Virginia,11 - 20 years,11 - 20 years,Master's degree,Woman,White,Executive Level
3625,35-44,Computing or Tech,125000,USD,United States,New York,11 - 20 years,11 - 20 years,College degree,Woman,White,Executive Level
3626,45-54,Computing or Tech,135000,USD,United States,Oregon,21 - 30 years,11 - 20 years,College degree,Woman,White,Managerial Level
3627,45-54,Engineering or Manufacturing,140000,USD,United States,Virginia,21 - 30 years,11 - 20 years,Some college,Woman,White,Mid Level
3628,25-34,Insurance,129746,USD,United States,Illinois,8 - 10 years,5-7 years,Master's degree,Man,White,Senior Level
3629,35-44,Health care,68500,USD,United States,Texas,11 - 20 years,5-7 years,High School,Woman,White,Mid Level
3630,25-34,Nonprofits,52736,USD,United States,New Hampshire,8 - 10 years,8 - 10 years,Master's degree,Woman,White,Executive Level
3631,35-44,Health care,52500,USD,United States,Indiana,21 - 30 years,8 - 10 years,Master's degree,Woman,White,Mid Level
3632,35-44,Engineering or Manufacturing,120000,USD,United States,Kansas,11 - 20 years,11 - 20 years,Master's degree,Woman,White,Senior Level
3633,35-44,Sales,108000,USD,United States,Massachusetts,11 - 20 years,5-7 years,Master's degree,Woman,White,Mid Level
3634,25-34,Business or Consulting,70000,USD,United States,New Mexico,5-7 years,5-7 years,College degree,Woman,White,Senior Level
3635,35-44,"Accounting, Banking & Finance",195000,USD,United States,Missouri,11 - 20 years,11 - 20 years,Master's degree,Woman,White,Executive Level
3636,25-34,Business or Consulting,123000,USD,United States,Maryland,8 - 10 years,5-7 years,Master's degree,Woman,White,Senior Level
3637,25-34,Engineering or Manufacturing,168000,USD,United States,Virginia,5-7 years,5-7 years,College degree,Woman,White,Senior Level
3639,25-34,Health care,67000,USD,United States,Massachusetts,8 - 10 years,8 - 10 years,College degree,Woman,White,Senior Level
3641,25-34,Health care,85000,USD,United States,Ohio,8 - 10 years,5-7 years,College degree,Woman,White,Mid Level
3642,25-34,Computing or Tech,115000,USD,United States,New York,5-7 years,5-7 years,College degree,Man,White,Mid Level
3643,25-34,Computing or Tech,280000,USD,United States,Texas,11 - 20 years,11 - 20 years,College degree,Woman,White,Mid Level
3644,25-34,Computing or Tech,120000,USD,United States,New York,5-7 years,5-7 years,Master's degree,Man,White,Mid Level
3645,45-54,"Accounting, Banking & Finance",175000,USD,United States,New York,21 - 30 years,11 - 20 years,Master's degree,Woman,White,Mid Level
3646,35-44,"Accounting, Banking & Finance",200000,USD,United States,California,11 - 20 years,11 - 20 years,Master's degree,Woman,White,Executive Level
3647,25-34,"Marketing, Advertising & PR",66000,USD,United States,New Jersey,8 - 10 years,8 - 10 years,College degree,Woman,White,Mid Level
3648,25-34,Nonprofits,50000,USD,United States,Massachusetts,11 - 20 years,11 - 20 years,College degree,Woman,White,Executive Level
3649,25-34,Insurance,154000,USD,United States,Pennsylvania,8 - 10 years,8 - 10 years,College degree,Woman,White,Senior Level
3650,25-34,Engineering or Manufacturing,32701,USD,United States,,5-7 years,2 - 4 years,College degree,Woman,White,Mid Level
3651,35-44,Education (Higher Education),78650,USD,United States,Illinois,11 - 20 years,11 - 20 years,Master's degree,Woman,White,Mid Level
3652,25-34,"Marketing, Advertising & PR",62700,USD,United States,Maryland,8 - 10 years,5-7 years,Master's degree,Woman,White,Managerial Level
3653,45-54,"Accounting, Banking & Finance",121800,USD,United States,Texas,11 - 20 years,5-7 years,Master's degree,Woman,White,Mid Level
3654,65 or over,Health care,160000,USD,United States,Texas,41 years or more,31 - 40 years,Some college,Woman,White,Mid Level
3655,45-54,Computing or Tech,180000,USD,United States,Pennsylvania,21 - 30 years,21 - 30 years,Master's degree,Woman,White,Managerial Level
3656,45-54,Computing or Tech,53776,USD,United States,,21 - 30 years,11 - 20 years,Some college,Woman,White,Managerial Level
3657,25-34,Art & Design,104000,USD,United States,Pennsylvania,5-7 years,5-7 years,College degree,Woman,White,Mid Level
3658,45-54,Property or Construction,139911,USD,United Kingdom,,21 - 30 years,11 - 20 years,High School,Woman,White,Managerial Level
3659,25-34,Computing or Tech,200000,USD,United States,Washington,8 - 10 years,8 - 10 years,College degree,Man,White,Senior Level
3660,35-44,Nonprofits,65000,USD,United States,Ohio,11 - 20 years,11 - 20 years,College degree,Woman,White,Executive Level
3661,35-44,Computing or Tech,59000,USD,United States,Massachusetts,8 - 10 years,5-7 years,College degree,Man,White,Mid Level
3663,25-34,Law,130000,USD,United States,Washington,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,White,Junior Level
3664,25-34,Engineering or Manufacturing,82500,USD,United States,Ohio,11 - 20 years,8 - 10 years,Some college,Woman,White,Managerial Level
